scenarios;stdev;mean
10.0;1.1518908454888404;102.41970428701212
20.0;1.8036216650964851;100.3424185679662
30.0;2.2069749019941662;97.7553079680351
40.0;1.9340541513816023;96.44545322208256
50.0;1.9982250766112364;97.693756807437
60.0;1.942422833312277;97.7890601713697
70.0;1.8057904648660226;96.44995432249607
80.0;2.2246918722999984;95.95350706049857
90.0;2.014275080814954;96.24282574888353
100.0;2.0355628210935466;96.01248687352394
110.0;1.3598196524109838;94.06051059089742
120.0;2.5453516771137807;94.62417368960963
130.0;3.651482103059207;93.62432207757365
140.0;2.0576293614319843;94.62867662936165
150.0;2.776207360046141;93.1156031583675
160.0;1.7293639570202957;93.4177670643853
170.0;3.373426682282006;91.92272454092743
180.0;2.129299103465111;92.44563595093089
190.0;1.7267185936280611;92.33075850826752
200.0;1.8317731531332473;93.62542765244885
210.0;2.4045235432454386;92.83341454265079
220.0;3.1070844767677683;91.74050587293058
230.0;2.9858831299892183;93.48428673047285
240.0;1.5392882671367938;92.94256718819898
250.0;1.0850273606952838;92.94358726309706
260.0;2.2947539725055366;90.42941869247285
270.0;1.9511634343292639;91.67073466136088
280.0;1.4717713152772072;92.4807343007436
290.0;2.3142908054302254;92.55194672268301
300.0;2.94913518965203;90.47405926429587
310.0;3.046814471414598;90.96909631475013
