scenarios;std;mean
10;3,69148184;93,27567953
20;5,810201104;91,13866487
30;7,758477258;85,11328369
40;8,775305187;80,57425339
50;7,749595561;78,92298503
60;6,816788012;80,22449259
70;6,903135371;73,25342476
80;8,183549173;70,84324274
90;8,11991942;72,43244826
100;8,364418627;73,09275718
110;4,610491267;72,01163033
120;7,795525701;69,74628222
130;7,007909527;71,36979782
140;4,959887032;69,88367946
150;5,316218904;67,9253084
160;5,971794435;68,01534714
170;5,644529818;66,28091209
180;5,78326665;68,11231417
190;5,373733749;65,00340378
200;4,761045443;67,50415146
210;5,647942606;68,58191589
220;4,525455042;64,84401801
230;4,565327802;64,70572709
240;6,380524219;67,89929168
250;4,729834415;66,63579209
260;3,714190564;63,33337531
270;4,887890917;62,65597879
280;5,176753734;64,78003457
290;5,603243376;64,24382302
300;2,982738818;62,76579894
310;4,665228073;68,24030291
