;W2_gas_X;W2_gas_0;W2_gas_1;W2_gas_2;W2_gas_3;W2_gas_4;W2_gas_5;W2_gas_6;W2_gas_7;W2_gas_8;W2_gas_9;W5_gas_9
0;0;3243.454325047255;719.4832766486794;0.0;0.0;2793.847843523913;0.0;0.0;0.0;7562.547826145099;0.0;11211.661824990993
1;10;1914.973897881621;435.7245559352747;1666.7562543415977;0.0;0.0;0.0;0.0;1604.5519226044285;3124.636478860141;587.9872535985918;1304.68540618007
2;20;5451.87000465516;3685.7026410425733;4076.77299906436;1902.599799531125;164.92503067330833;2616.8343542163047;987.0379305225714;7712.39847053212;3119.148400536107;3683.693383219897;3966.5520392137505
3;30;29917.941419197632;29838.636164975902;28881.404665807997;28529.256718145283;29457.88268781524;28883.4893044597;30625.293182371763;30299.514916754488;29453.92311516721;30157.345496073067;16959.29711515284
4;40;46402.64183102333;47119.48471030457;44974.19295523804;45216.41489096281;46089.54669790045;44850.55852954441;46385.32790102527;45737.134971462336;48049.1275640617;45404.548209423396;41309.716630295086
5;50;55699.889255818205;56860.531619921385;54588.29620089773;56004.53349607912;56327.974166764645;54926.91747202315;55213.44108120086;53919.84050395807;56116.70505849825;52595.49326006466;43933.10998106628
6;60;70075.78265994429;65220.877133043796;63210.973922695965;65666.959215948;67273.68221449459;66370.87583117386;64709.71858324287;64192.89409453963;66373.13949506912;60023.63423379081;57682.71990785
7;70;74563.94553647982;75962.53958303801;73361.47874617782;76953.8269533461;75729.94137758702;75979.1194163686;74462.44214890264;71313.30707627589;73097.41164668574;71648.65583946965;68200.85765378198
8;80;87241.58693052088;86204.32988761963;82957.76351341192;85147.11388944676;88172.30492036775;86649.48031702753;87761.04096434765;81971.58832076976;80736.21321611044;85793.54143517537;90893.43349912633
9;90;97792.87752059383;95504.0714873216;91953.06556302716;92402.15454034288;97678.29371822072;94780.23086735093;91004.70621508086;83769.35916250477;91895.75654422992;96782.6237749412;112282.31706234752
10;100;108111.47296426355;103741.84127423297;104428.51662814678;100522.96149306824;107307.69791222124;100513.30012917957;101640.53621553832;94319.02743248804;96983.48141610641;103981.95819778221;115383.60516050569
