;choke;W1_oil_0;W2_oil_0;W3_oil_0;W4_oil_0;W5_oil_0;W6_oil_0;W7_oil_0
0;0;0.017983198165893555;0.0038499245;0.060967683792114265;7.6253981590271;0.0010559066;0.021270960569381717;0.03174680471420288
1;10;0.4161294400691986;-0.0010459266;0.07611972093582152;2.4850778579711914;1.9780179;0.010669611394405363;0.11788564920425415
2;20;1.5635852813720703;0.6010354;5.453955173492432;7.141555309295652;6.921807;4.388930797576903;1.56182599067688
3;30;7.238523006439209;7.1296215;11.544452667236328;11.789257049560547;12.228007;11.383768081665039;9.519784927368164
4;40;13.107528686523438;10.854107;18.38467788696289;16.58163070678711;17.410791;15.87034797668457;15.927203178405762
5;50;18.27716445922852;13.321435;19.796052932739254;14.323019027709961;22.701906;19.8012752532959;18.41668701171875
6;60;22.83519172668457;16.292616;25.2148494720459;16.389350891113278;27.954832;23.732200622558594;21.92115974426269
7;70;27.39321708679199;19.222542;31.598575592041016;18.5119743347168;33.124508;27.66312599182129;25.42563819885254
8;80;31.95124244689941;22.11844;37.9823112487793;20.634601593017575;38.503628000000006;31.59404945373535;28.936481475830078
9;90;36.5092658996582;25.22565;44.45198822021485;22.75722694396973;43.76693;35.52497863769531;32.448192596435554
10;100;41.06728744506836;28.63518;50.94866561889648;24.879852294921875;48.832405;39.455902099609375;35.9610481262207
